Source Name,Source Version,Creation Date,Value
Gokila’s iPhone6s,9.3.1,2016-12-27 11:36,125
Gokila’s iPhone6s,9.3.1,2016-12-27 13:25,10
Gokila’s iPhone6s,9.3.1,2016-12-27 13:25,225
Gokila’s iPhone6s,9.3.1,2016-12-27 13:25,9
Gokila’s iPhone6s,9.3.1,2016-12-27 13:25,301
Gokila’s iPhone6s,9.3.1,2016-12-27 13:25,182
Gokila’s iPhone6s,9.3.1,2016-12-27 13:25,17
Gokila’s iPhone6s,9.3.1,2016-12-27 13:25,17
Gokila’s iPhone6s,9.3.1,2016-12-27 13:25,102
Gokila’s iPhone6s,9.3.1,2016-12-27 14:25,92
Gokila’s iPhone6s,9.3.1,2016-12-27 14:25,140
Gokila’s iPhone6s,9.3.1,2016-12-27 15:27,183
Gokila’s iPhone6s,9.3.1,2016-12-27 15:27,132
Gokila’s iPhone6s,9.3.1,2016-12-27 17:29,102
Gokila’s iPhone6s,9.3.1,2016-12-27 17:29,246
Gokila’s iPhone6s,9.3.1,2016-12-27 17:29,40
Gokila’s iPhone6s,9.3.1,2016-12-27 17:29,73
Gokila’s iPhone6s,9.3.1,2016-12-27 17:29,56
